ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Response,Z_Revenue_correct,Age,MntTotal,NumTotalPurchases,AcceptedTotalFirstFiveCmps,AcceptedTotalFirstFiveCmpsMorePilot,TotalYearAfterRegistration,TotalChildren,DaysOfRegistration,NumTotalPurchasesByMonthRegistred,PurchaseEveryNDays
1409,1951,Graduation,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,False,False,False,False,False,False,3,False,0,69,345,13,0,0,7,1,469,0.8315565031982942,36.07692307692308
7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,False,False,False,False,False,False,3,False,0,51,62,6,0,0,7,0,544,0.33088235294117646,90.66666666666667
2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,False,False,False,False,False,False,3,False,0,44,216,10,0,0,7,2,399,0.7518796992481203,39.900000000000006
5255,1986,Graduation,Single,,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,False,False,False,False,False,False,3,False,0,34,275,27,0,0,7,1,495,1.6363636363636365,18.333333333333332
9422,1989,Graduation,Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,False,False,False,False,False,False,3,False,0,31,121,7,0,0,7,1,395,0.5316455696202532,56.42857142857142
1966,1965,PhD,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,False,False,True,False,False,False,3,False,0,55,1672,25,1,1,7,0,220,3.409090909090909,8.799999999999999
6864,1989,Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,False,False,False,False,False,False,3,False,0,31,26,6,0,0,6,0,39,4.615384615384615,6.500000000000001
3033,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,False,False,False,False,False,False,3,False,0,57,229,10,0,0,7,0,415,0.7228915662650602,41.5
5710,1970,Graduation,Together,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,False,True,False,False,False,False,3,False,0,50,117,7,1,1,8,1,628,0.3343949044585987,89.71428571428572
7373,1952,PhD,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,False,False,False,False,False,False,3,True,11,68,259,11,0,1,8,2,609,0.541871921182266,55.36363636363636
8755,1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,False,False,False,False,False,False,3,False,0,74,1174,17,0,0,7,0,495,1.0303030303030303,29.11764705882353
10738,1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,False,False,False,False,False,False,3,False,0,69,62,5,0,0,7,2,305,0.49180327868852464,60.99999999999999
4339,1970,PhD,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,False,False,False,False,False,False,3,False,0,50,878,23,0,0,7,1,181,3.812154696132597,7.869565217391304
10755,1976,2n Cycle,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,False,False,False,False,False,False,3,False,0,44,45,6,0,0,7,1,301,0.5980066445182725,50.166666666666664
8595,1973,Graduation,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,False,False,False,False,False,False,3,False,0,47,63,5,0,0,6,1,139,1.079136690647482,27.8
2968,1943,PhD,Divorced,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,True,False,False,False,False,False,3,True,11,77,860,22,1,2,7,0,514,1.284046692607004,23.363636363636363
8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,False,False,False,False,False,False,3,False,0,40,1293,19,0,0,7,1,427,1.3348946135831383,22.473684210526315
503,1985,Master,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,False,False,False,False,False,False,3,False,0,35,46,5,0,0,7,1,475,0.3157894736842105,95.0
8430,1957,Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,False,False,False,False,False,False,3,False,0,63,19,3,0,0,8,1,553,0.162748643761302,184.33333333333334
7281,1959,PhD,Single,,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,False,False,False,False,False,False,3,False,0,61,147,8,0,0,7,0,237,1.0126582278481011,29.625000000000004
2139,1975,Master,Married,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,False,False,False,False,False,False,3,False,0,45,19,5,0,0,7,1,271,0.5535055350553506,54.199999999999996
1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,False,False,False,False,False,False,3,False,0,44,810,15,0,0,6,0,2,225.0,0.13333333333333333
9909,1996,2n Cycle,Married,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,False,False,False,False,False,False,3,True,11,24,72,7,0,1,8,0,598,0.3511705685618729,85.42857142857143
7286,1968,Graduation,Together,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,False,False,False,False,False,False,3,False,0,52,42,4,0,0,7,1,402,0.29850746268656714,100.50000000000001
7244,1951,Graduation,Single,,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,False,False,False,False,False,False,3,False,0,69,117,7,0,0,6,3,180,1.1666666666666667,25.71428571428571
6566,1954,PhD,Married,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,False,False,False,False,False,False,3,False,0,66,1281,19,0,0,8,2,599,0.9515859766277129,31.52631578947368
8614,1957,Graduation,Widow,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,False,False,False,False,False,False,3,False,0,63,493,16,0,0,6,1,49,9.795918367346939,3.0625
4114,1964,Master,Married,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,False,False,False,False,False,False,3,False,0,56,1661,28,0,0,8,0,688,1.2209302325581395,24.571428571428573
1331,1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,False,False,False,False,False,False,3,False,0,43,69,5,0,0,7,1,544,0.2757352941176471,108.8
2225,1977,Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,True,False,False,True,False,False,3,True,11,43,1376,20,2,3,6,0,23,26.08695652173913,1.1500000000000001
9381,1978,Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,False,False,False,False,False,False,3,False,0,42,497,16,0,0,7,2,383,1.2532637075718014,23.937500000000004
6260,1955,Master,Together,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,False,False,True,False,False,False,3,True,11,65,1767,26,1,2,8,0,588,1.3265306122448979,22.615384615384617
10383,1966,Graduation,Divorced,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,False,False,False,False,False,False,3,True,11,54,1053,20,0,1,7,0,454,1.3215859030837005,22.7
7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,False,False,False,False,False,False,3,False,0,32,24,5,0,0,6,1,63,2.380952380952381,12.6
8557,1982,Graduation,Single,,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,False,False,False,False,False,False,3,False,0,38,40,5,0,0,7,1,378,0.39682539682539686,75.6
8375,1968,PhD,Married,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,False,False,False,False,False,False,3,False,0,52,475,16,0,0,6,1,119,4.033613445378151,7.4375
6853,1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,False,True,True,False,False,False,3,True,11,38,1358,20,2,3,7,0,361,1.662049861495845,18.049999999999997
3076,1975,Graduation,Together,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,False,False,False,False,False,False,3,False,0,45,606,18,0,0,8,2,661,0.8169440242057489,36.72222222222222
1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,False,False,False,False,False,False,3,False,0,68,715,20,0,0,7,1,497,1.2072434607645874,24.85
6518,1951,PhD,Widow,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,False,False,False,False,False,False,3,False,0,69,600,18,0,0,7,1,384,1.40625,21.333333333333332
4137,1948,Graduation,Together,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,False,False,False,False,False,False,3,False,0,72,1046,15,0,0,7,0,206,2.1844660194174756,13.733333333333334
8082,1971,Graduation,Married,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,False,False,False,False,False,False,3,True,11,49,19,4,0,1,7,1,405,0.2962962962962963,101.25
1386,1967,Graduation,Together,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,False,False,False,False,False,False,3,False,0,53,11,3,0,0,6,2,50,1.7999999999999998,16.666666666666668
9369,1979,2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,True,False,False,True,False,False,3,True,11,41,1236,31,2,3,6,1,103,9.029126213592233,3.32258064516129
4477,1958,Graduation,Together,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,False,False,False,False,False,False,3,False,0,62,544,17,0,0,7,1,276,1.847826086956522,16.235294117647058
1357,1970,Graduation,Together,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,False,False,False,False,False,False,3,False,0,50,1489,12,0,0,7,3,448,0.8035714285714286,37.33333333333333
1402,1954,Master,Married,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,False,False,False,False,False,False,3,False,0,66,1241,18,0,0,8,0,657,0.8219178082191781,36.5
10629,1973,2n Cycle,Married,,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,False,False,False,False,False,False,3,False,0,47,92,6,0,0,8,1,654,0.27522935779816515,109.0
6312,1959,Graduation,Married,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,False,False,False,False,False,False,3,False,0,61,777,26,0,0,7,1,470,1.6595744680851063,18.076923076923077
8132,1975,PhD,Married,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,False,True,False,False,False,False,3,False,0,45,642,19,1,1,7,2,451,1.2638580931263859,23.736842105263158
1050,1952,Graduation,Married,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,False,False,False,False,False,False,3,False,0,68,56,7,0,0,6,0,61,3.4426229508196724,8.714285714285714
5846,1977,Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,False,False,False,False,False,False,3,False,0,43,12,3,0,0,8,1,558,0.16129032258064516,186.0
1859,1972,Master,Married,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,False,False,False,False,False,False,3,True,11,48,1872,18,0,1,8,0,672,0.8035714285714286,37.33333333333333
7503,1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,True,False,False,False,False,False,3,True,11,44,2158,22,1,2,8,0,626,1.0543130990415335,28.454545454545457
10401,1976,2n Cycle,Together,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,False,False,False,False,False,True,3,False,0,44,9,3,0,0,7,0,299,0.3010033444816054,99.66666666666666
1618,1965,Graduation,Together,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,True,False,False,False,False,False,3,True,11,55,641,19,1,2,7,0,544,1.0477941176470589,28.63157894736842
3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,False,False,False,False,False,False,3,False,0,35,148,8,0,0,8,1,670,0.35820895522388063,83.74999999999999
2261,1969,Graduation,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,False,False,False,False,False,False,3,False,0,51,12,3,0,0,7,1,372,0.24193548387096772,124.00000000000001
5346,1973,2n Cycle,Married,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,False,False,False,False,False,False,3,False,0,47,56,6,0,0,7,1,362,0.4972375690607735,60.333333333333336
4119,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,False,False,False,False,False,False,3,False,0,57,229,10,0,0,7,0,415,0.7228915662650602,41.5
535,1987,Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,False,False,False,False,False,False,3,False,0,33,702,26,0,0,6,0,125,6.239999999999999,4.807692307692308
5268,1960,Graduation,Married,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,False,False,False,False,False,False,3,False,0,60,53,5,0,0,7,2,323,0.46439628482972134,64.60000000000001
273,1970,Master,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,False,True,False,False,False,False,3,False,0,50,146,8,1,1,7,2,349,0.6876790830945559,43.62499999999999
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,False,True,False,True,False,False,3,True,11,63,338,13,2,3,6,1,33,11.818181818181817,2.5384615384615388
8504,1973,Graduation,Married,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,False,False,True,False,False,False,3,False,0,47,1221,18,1,1,6,0,49,11.020408163265307,2.722222222222222
771,1967,Graduation,Together,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,False,False,False,False,False,False,3,False,0,53,187,9,0,0,6,1,160,1.6875,17.77777777777778
8996,1957,PhD,Married,,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,False,False,False,False,False,False,3,False,0,63,550,17,0,0,8,3,588,0.8673469387755102,34.588235294117645
9235,1957,Graduation,Single,,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,False,False,False,False,False,False,3,False,0,63,17,3,0,0,6,2,34,2.6470588235294117,11.333333333333334
5798,1973,Master,Together,,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,False,False,False,False,False,False,3,False,0,47,967,14,0,0,7,0,219,1.9178082191780823,15.642857142857142
11178,1972,Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,False,False,False,False,False,False,3,False,0,48,28,4,0,0,6,1,99,1.2121212121212122,24.75
2230,1970,PhD,Married,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,False,False,False,False,False,False,3,False,0,50,43,7,0,0,6,1,37,5.675675675675675,5.285714285714286
7516,1983,Graduation,Married,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,False,False,False,False,False,False,3,False,0,37,36,5,0,0,6,1,39,3.846153846153846,7.800000000000001
7247,1960,Graduation,Widow,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,False,True,False,False,False,False,3,False,0,60,531,17,1,1,8,1,585,0.8717948717948718,34.411764705882355
11100,1972,Graduation,Divorced,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,False,False,False,False,False,False,3,False,0,48,61,5,0,0,7,2,445,0.33707865168539325,89.0
4646,1951,2n Cycle,Married,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,False,False,False,True,False,False,3,False,0,69,755,24,1,1,7,0,211,3.4123222748815167,8.791666666666666
3037,1983,PhD,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,False,False,False,False,False,False,3,False,0,37,399,14,0,0,7,0,375,1.12,26.785714285714285
1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,False,False,False,False,False,False,3,False,0,60,62,5,0,0,7,1,342,0.43859649122807015,68.4
1016,1959,PhD,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,False,False,False,False,False,False,3,False,0,61,50,5,0,0,6,1,92,1.6304347826086956,18.400000000000002
4518,1979,Graduation,Together,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,False,False,False,False,False,False,3,False,0,41,1058,25,0,0,7,1,436,1.7201834862385321,17.44
9370,1945,PhD,Married,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,False,False,False,False,False,False,3,False,0,75,1039,15,0,0,7,0,409,1.1002444987775062,27.266666666666666
8908,1959,Graduation,Married,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,False,False,False,False,False,False,3,True,11,61,1059,19,0,1,6,0,53,10.754716981132075,2.7894736842105265
8373,1979,Basic,Together,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,False,False,False,False,False,False,3,False,0,41,20,4,0,0,7,1,202,0.594059405940594,50.5
7533,1964,Graduation,Married,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,False,False,False,False,False,False,3,False,0,56,180,9,0,0,7,2,279,0.9677419354838709,31.000000000000004
2683,1969,Graduation,Married,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,False,False,False,False,False,False,3,False,0,51,845,22,0,0,7,2,513,1.286549707602339,23.31818181818182
3629,1978,Graduation,Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,False,False,False,False,False,False,3,False,0,42,118,7,0,0,8,1,558,0.3763440860215054,79.71428571428571
10991,1960,Master,Married,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,False,False,False,False,False,False,3,False,0,60,807,13,0,0,8,0,570,0.6842105263157895,43.84615384615385
5077,1979,Graduation,Together,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,False,False,False,False,False,False,3,False,0,41,890,23,0,0,7,1,240,2.875,10.434782608695652
7431,1991,PhD,Single,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,False,True,False,False,False,False,3,True,11,29,1734,16,1,2,8,0,597,0.8040201005025126,37.3125
3267,1963,Master,Together,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,False,True,False,False,False,False,3,False,0,57,548,17,1,1,6,1,5,102.0,0.29411764705882354
999,1991,Graduation,Single,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,False,True,True,False,False,False,3,True,11,29,708,24,2,3,7,0,544,1.3235294117647058,22.666666666666668
9215,1980,PhD,Married,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,False,False,False,False,False,False,3,False,0,40,479,16,0,0,8,1,565,0.8495575221238939,35.31249999999999
2286,1962,Graduation,Single,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,False,False,False,False,False,False,3,False,0,58,87,6,0,0,7,2,293,0.614334470989761,48.83333333333334
1592,1970,Graduation,Married,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,False,False,True,True,False,False,3,False,0,50,1691,15,2,2,6,0,157,2.8662420382165603,10.466666666666667
367,1978,2n Cycle,Married,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,False,False,False,False,False,False,3,False,0,42,457,15,0,0,7,1,496,0.9072580645161289,33.06666666666667
5234,1967,2n Cycle,Together,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,False,False,False,False,False,False,3,False,0,53,51,5,0,0,7,2,354,0.423728813559322,70.8
9862,1969,Graduation,Together,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,False,False,False,False,False,False,3,False,0,51,30,5,0,0,7,1,228,0.6578947368421053,45.599999999999994
9805,1953,Master,Together,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,False,False,False,False,False,False,3,False,0,67,612,18,0,0,7,1,375,1.44,20.833333333333336
6205,1967,Master,Single,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,False,False,False,False,False,False,3,True,11,53,70,6,0,1,6,1,126,1.4285714285714286,21.0
8442,1985,Master,Married,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,False,False,False,False,False,False,3,False,0,35,23,4,0,0,7,2,299,0.4013377926421405,74.75
7386,1976,Graduation,Divorced,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,False,False,False,False,False,False,3,False,0,44,41,4,0,0,7,1,434,0.2764976958525346,108.49999999999999
7215,1983,Graduation,Single,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,False,True,True,True,False,False,3,True,11,37,967,27,3,4,7,0,475,1.7052631578947368,17.59259259259259
1491,1965,2n Cycle,Together,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,False,False,False,False,False,False,3,False,0,55,387,14,0,0,7,0,497,0.8450704225352113,35.5
11071,1984,Graduation,Single,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,False,False,False,False,False,False,3,True,11,36,1707,15,0,1,7,0,435,1.0344827586206897,28.999999999999996
3381,1953,Master,Married,54348.0,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,False,False,False,False,False,False,3,False,0,67,86,6,0,0,6,2,22,8.181818181818182,3.6666666666666665
8268,1961,PhD,Married,,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,False,False,False,False,False,False,3,False,0,59,389,14,0,0,7,1,354,1.1864406779661016,25.28571428571429
